barcode,product_name,Wholesale Price,retail_price,batch_no
1688,POWDER BOX 6PC,108,150,
6937519477716,ROUND COMB 6PC SHUSHUHAO,36,60,6
4982,*,88,100,
4983,*,95,110,
2140,**,512,720,
3552,**,1,1,
12,***,32,35,
49821,***,27,30,
4699,***,88,140,
4700,***,88,140,
3423,100ml PERFUME-252,90,180,1
5385,10pc BOX LIPSTICK WS70,70,100,
8904323462076,21CLUB BLK PRFM-180,88,120,1
8904323462069,21CLUB BLUE PERFM-180,88,120,1
6970779606564,24H SMOOTH EYE GOLD 12PC,420,600,
8972423632101,36H SKETCH 12pc,7,20,12
6970957494068,36H SKETCH EYELINER 12pc,7,20,12
3659,3D LIPGLOSS 3DL01 12pc,204,300,
5883,3D MASSAGER MAXTOP 206,100,200,1
6952197278028,3D MASSAGER ZL206,100,200,1
729193000269,4 IN 1 FOOT SCRUBBER 6PC,25,40,6
1506,5 -1 MASSAGER 8782,130,170,
2977,6PC BRUSH,98,150,
6905624000051,7COLOR 2IN1 CONCELOR CL05,64,100,
3415,7COLOR HIGHLIGHTER HT07,126,190,
6970957490350,7COLOR LIPGLOSS NT037,576,840,
1648,919 VIP MIX PRFM-270,135,180,
5878,919 VIP PERFUME-660,320,580,1
123456789012,99% ALOEVERA GEL ANGEL ROSE,60,100,
1650,AAB,1,1,1
3716,AA-B,1,1,
8901691021171,aac,1,1,1
6438,AAD,1,1,1
4,aah,75,90,
6,aah,75,90,
5082,AAK,1,1,1
617571048609,ADILQADRI AQUA PERF-599,260,400,
617571048463,ADILQADRI MUSK PERF-599,260,400,
617571048449,ADILQADRI OUDH PERF-599,260,400,
617571048784,ADILQADRI SAFIRA PERF-599,260,400,
617571048616,ADILQADRI SATWAN PERF-599,260,400,
617571048487,ADILQADRI SHANAYA PERF-599,260,400,
617571048319,ADILQADRI SHANAYA RED PER-599,260,400,1
617571077142,ADILQADRI STORY PERF-599,260,400,
617571048425,ADILQADRI WHITE OUDH PERF-599,260,400,
1773,ADS  PRO 001 L-S 12PC,396,540,
1766,ADS  PRO 12pc 0011,360,480,
886000099004,ADS  SL0017 L-S 24PC,744,1080,
6950420101129,ADS 0001 EYELINER 12PC,300,480,
4793,ADS 24H EYELINER 1524-72,20,60,12
3498,ADS 24HRS EYELINER 1523-72,180,300,
2581,ADS 24HRS MASCARA 1523-72,180,300,
3500,ADS 2IN1 LIPGLOSS 01833 12pc,624,960,
3501,ADS 2IN1 LIPGLOSS 1840 12pc,564,840,
6905277080806,ADS 2IN1 PENCIL A0808,108,180,
6950420151261,ADS 48PC LIPSTIC A06215,1344,1920,
6950420162168,ADS 48PC LIPSTIC A06216,1344,1920,
6950420162175,ADS 48PC LIPSTIC A06217,1344,1920,
4481,ADS 5IN1 8489,133,220,
6950420188939,ADS 5IN1 8893 A/B,152,250,
6950420126023,ADS 5IN1 A8490,133,180,
6950420113368,"ADS 5IN1 A8637F,E",152,250,1
6950420186317,ADS 5IN1 ALOE A8631F,140,220,
6950420188458,ADS 5IN1 COMPACT 8819,146,250,
6950420180056,ADS 5IN1 COMPACT A8030-2,152,250,
6950420126016,ADS 5IN1 COMPACT A8207,140,220,
6950420183255,ADS 5IN1 COMPACT A8824,146,250,
6950420183989,ADS A8938 MAKEUP KIT,338,450,
6920523530157,ADS ALOE  2DZ LPSTCK 3317 24pc,8,15,24
6950420123244,ADS ALOE COMPACT A8653A,98,130,
6920523530188,ADS ALOE LIPSTICK,72,120,
6950420109880,ADS ALOE/GREEN COMPACT A8890B,100,240,1
8904277700002,ADS APRICOT SCRUB-160,60,100,
8904277700071,ADS APRICOT SCRUB-70,30,50,
2738,ADS AVOCADO LIPSTICK,96,144,
6950420150509,ADS BB GREEN T FOUNDATION A8790C,143,250,
8904277702068,ADS BEAUTY 1833 LG 12PC,624,960,
1771,ADS BEAUTY 1847 LG 12PC,516,720,
4978,ADS BEAUTY COMPACT 2IN1,60,100,
1885,ADS BEAUTY FOUNDATION 1506-6PC,120,180,
6923859299903,ADS BLACK EYEBROW PENCIL,78,120,1
6905277080813,ADS BOUNJOUR PENCIL 12P A0809,16,30,12
4296,ADS CHAMELEON LIPBALM 3397,120,180,
3417,ADS COLOUR LIPLINER,96,144,
6950420135193,ADS COMPACT 8510B,100,250,1
6950420126115,ADS COMPACT A8011,121,200,1
6950420180025,ADS COMPACT A8597B,91,240,1
6950420182104,ADS COMPACT A8852,140,280,1
6950420125026,ADS COMPACT XXL A8744A/B,100,240,1
6950420110107,ADS CONCEALER A8647,58,100,
6950420185532,ADS CONCELOR 2IN1 A8553B 12pc,40,70,12
6950420152282,ADS ES A8225-2,133,250,1
5339,ADS EYE SHADOW A8338 CHINA,132,200,
6950420183385,ADS EYE SHADOW A8338 INDIAN,85,120,
6905277080103,ADS EYEBROW PENCIL A0801,9,15,12
6923859299972,ADS EYEBROW PENCIL E-501,84,120,
6950420183354,ADS EYESHADOW A8335,146,220,
6950420183361,ADS EYESHADOW A8336,163,250,1
17048,ADS FACE & EYE BRUSH SET,170,300,1
6926919505105,ADS FACE&BODY ALOE,42,70,
6926919505136,ADS FACE&BODY CUCUMBER,42,70,
6926919505129,ADS FACE&BODY PAPAYA.,42,70,
6926919505112,ADS FACE&BODY STABRY,38,50,
6950420185723,ADS FIXER A8572B,104,200,
6950420185730,ADS FIXER A8573B,104,200,1
8904277701436,ADS FOUNDATION 01510 6pc-99,210,360,
8904277701795,ADS FOUNDATION 12pc 89,360,600,
6923859201326,ADS FOUNDATION 3411-A,45,70,
6923859201319,ADS FOUNDATION 3411-E,45,70,
3496,ADS FOUNDATION 6pc 1505-69,120,240,
3497,ADS FOUNDATION 6pc 1506-69,24,50,6
6950420150042,ADS FOUNDATION A8054,120,180,
6950420187079,ADS FOUNDATION A8707-2,148,200,
6950420187086,ADS FOUNDATION A8708-2,150,210,
3231,ADS FOUNDATION-WS146,146,200,
6950420186201,ADS GEL EYELINER A8620,150,250,
6950420186843,ADS GEL EYELLINER A8684-2,65,100,
6950420198815,ADS GREEN T COMPACT A8665A,52,80,
6950420187888,ADS GREEN T COMPACT A8878A,113,160,
6950420171405,ADS GREEN T COMPACT A8888,52,80,
6920523530171,ADS GREEN T LPSTCK 3318 24PC,8,15,24
6920523530201,ADS GREEN TEA LIPSTICK,72,120,
6950420109965,ADS HAIR SERUM WS120,120,200,
1037,ADS INDIAN EYESHADOW A8457,72,100,
6699,ADS KAJAL 6PC-125,12,20,6
3108,ADS KAJAL YELLOW 6PC-125,12,20,6
6950420181701,ADS KIT 8170,494,650,
6950420193681,ADS KIT 8188,172,280,1
5708,ADS KIT 8220,150,250,
6950420120397,ADS KIT 8241-2,124,200,1
6950420120205,ADS KIT 8299,117,200,1
6950420185556,ADS KIT 8555,158,220,
6950420185600,ADS KIT 8560,172,250,
6950420185631,ADS KIT 8563,158,220,
6950420188496,ADS KIT 8849,286,390,
6950420173980,ADS KIT 8937,357,490,
6950420122735,ADS KIT A3722-2,377,600,1
2042,ADS KIT A3727,66,90,
6950420164735,ADS KIT A3746-2,98,150,1
6950420100832,ADS KIT A3800-2,60,80,1
6950420138644,ADS KIT A3864,66,90,
6950420138705,ADS KIT A3870-2,358,470,
6950420138743,ADS KIT A3874,165,280,1
6950420139009,ADS KIT A3900-2,172,225,1
3746,ADS KIT A3955,254,330,
6950420120410,ADS KIT A3957-2,165,220,
6950420139696,ADS KIT A3969-2,312,430,
6950420167934,ADS KIT A3976-2,306,410,
2612,ADS KIT A8042,91,120,
6950420181169,ADS KIT A8116,158,220,1
6950420120359,ADS KIT A8122,158,220,1
6950420181268,ADS KIT A8126,150,250,1
11004,ADS KIT A8129,172,230,1
6950420181480,ADS KIT A8148-2,172,230,1
2736,ADS KIT A8156,132,180,
6950420181633,ADS KIT A8163,165,250,1
6950420181657,ADS KIT A8165,425,550,
6950420199188,ADS KIT A8199-2,254,400,1
6950420182081,ADS KIT A8208,158,220,
3269,ADS KIT A8220,150,250,1
6950420182302,ADS KIT A8230,165,220,
4045,ADS KIT A8241-2,110,160,
24,ADS KIT A8244,117,170,1
6950420120403,ADS KIT A8244,117,170,1
6950420182463,ADS KIT A8246,172,280,1
6950420182494,ADS KIT A8249,124,200,1
6950420182531,ADS KIT A8253,165,220,
6950420182579,ADS KIT A8257,172,250,1
6950420193698,ADS KIT A8258,178,240,
6950420182722,ADS KIT A8272,147,250,1
4311,ADS KIT A8275,172,280,1
6950420182807,ADS KIT A8280-2,172,240,1
6950420182838,ADS KIT A8283,146,200,
6905277829009,ADS KIT A8290,191,260,1
6950420124357,ADS KIT A8330-2,158,220,
6950420183323,ADS KIT A8332,158,220,1
6950420143389,ADS KIT A8334-2,158,220,
3604,ADS KIT A8360,158,220,
6950420183682,ADS KIT A8368,273,360,1
6950420183699,ADS KIT A8369,158,220,
6950420120441,ADS KIT A8393,215,280,
6950420183941,ADS KIT A8394-2,172,280,1
24,ADS KIT A8394-2,172,280,1
6950420184498,ADS KIT A8449,124,160,
3600,ADS KIT A8535,150,250,1
6950420185464,ADS KIT A8546,254,340,1
6950420185983,ADS KIT A8598,172,250,1
6950420186058,ADS KIT A8605,165,220,1
6950420186065,ADS KIT A8606,158,250,
6950420132680,ADS KIT A8623,158,250,1
6950420186355,ADS KIT A8635,172,280,1
6950420193896,ADS KIT A8643,221,300,
6950420186508,ADS KIT A8650,124,200,
6950420186553,ADS KIT A8655,158,220,
6950420116680,ADS KIT A8661,174,230,
3282,ADS KIT A8670,165,220,1
6950420187031,ADS KIT A8703,215,330,1
6950420187994,ADS KIT A8799,165,220,1
6950420169884,ADS KIT A8896,165,220,1
6950420170989,ADS KIT A8907,172,230,1
6950420189196,ADS KIT A8919,273,380,1
6950420172983,ADS KIT A8927B,280,400,1
6950420189394,ADS KIT A8939,397,550,
6950420104984,ADS KIT A8940,305,550,1
6950420143808,ADS KIT A8941,254,330,
6923859299996,ADS LIP & EYE PENCIL,8,15,12
3607,ADS LIP BALM-3397,126,180,
6923859200435,ADS LIP OIL-1145,21,30,12
4875,ADS LIPGLOSS 17-129,600,960,
3499,ADS LIPGLOSS HEYBABY 12PC-129,516,840,
3123,ADS LIPLINER A0800,90,120,
4878,ADS LIPSTICK 111 24-PC,672,960,
3839,ADS LIPSTICK 1120-32PC,120,150,
3416,ADS LIPSTICK 1121 32PC,6,15,32
6720,ADS LIPSTICK 1121 36pc,6,15,36
2731,ADS LIPSTICK 2212-24PC,7,15,24
2730,ADS LIPSTICK 2213-24PC,156,220,
4861,ADS LIPSTICK 2214 24pc,7,15,24
6923859201593,ADS LIPSTICK 3449-24PC,720,1200,
6923859201609,ADS LIPSTICK 3450-24PC,720,1200,
3622,ADS MAKEUP BRUSH-WS-48,48,80,
6950420109774,ADS MAKEUP REMOVER-0977,90,150,
6950420125156,ADS MAS+EYE A05152,90,120,
6950420112033,ADS MASCARA A05150,57,80,
6923263709845,ADS MASK ALOE,22,40,
6923263709876,ADS MASK CHARCOAL,22,40,
6923263709852,ADS MASK COCONUT,22,40,
6923263709890,ADS MASK GREEN TEA,22,40,
6923263709869,ADS MASK HONEY,22,40,
6923263709906,ADS MASK LEMON,22,40,
6923263709883,ADS MASK POMEGRANATE,22,40,
6923263709913,ADS MASK ROSE PETAL,22,40,
6920523530089,ADS MATTE LIPSTICK J113 12pc,7,15,12
6905277080110,ADS PECIL SILVER,96,132,
2740,ADS PENCIL A0800,90,120,
1927,ADS PENCIL JAR 36PC,96,130,
1926,ADS PENCIL JAR SHAPNER,108,144,1
6885438775461,ADS PRO  LIPSGLS 24PC,720,960,
Mfd. By: Shree Ganesh Cosmetics,ADS PRO 020 LIPSTICK 12PC,612,840,
5714,ADS PRO 020 LIPSTICK-149,420,600,
4704,ADS PRO 1234 LIPGLOSS,312,480,
4702,ADS PRO 127 LIPSTICK,720,1200,
4701,ADS PRO 128 LIPSTICK,720,1200,
6923859202415,ADS PRO 2 IN 1 LIPGLOSS 3534 12P,60,150,12
6923859202422,ADS PRO 2 IN 1 LIPGLOSS 3535 12P,60,150,12
3920,ADS PRO 2-1  COMPCT M317,72,100,
6923859201166,ADS PRO 3409 LIP GLOSS,564,960,
6923859201173,ADS PRO 3410 LIP GLOSS,564,960,
6923859202569,ADS PRO 3446 LIPGLOSS 24pc,840,1200,
6912458596056,ADS PRO 9605 LIPSTICK,360,480,
17169,ADS PRO BLUSHER SOFT 24PC,65,150,24
6955450301648,ADS PRO BRUSH WS50,53,80,
6697,ADS PRO COLORBURST 6P-50,22,40,6
6923859202057,ADS PRO COMAPACT ALOE 3499,70,280,
6923859201623,ADS PRO COMAPACT BB 3452,70,280,
6923859202040,ADS PRO COMAPACT FIT 3498,70,280,1
6923859202064,ADS PRO COMAPACT GREEN TEA 3500,70,280,
6950420155887,ADS PRO COMPACT A8852-2,137,300,1
6950420170217,ADS PRO COMPACT A8854,140,280,1
17168,ADS PRO FLAWLESS FOUNDATION 12PC,120,300,12
6950420187062,ADS PRO FOUNDATION A8706-2,143,200,
6092,ADS PRO GEL LIPSTICK 6pc-99,50,80,6
3277,ADS PRO L/G-21-1DZ,528,720,
3280,ADS PRO L/S-008-2DZ,552,720,
3258,ADS PRO L/S-110-12PC,492,660,
3279,ADS PRO L/S-115-2DZ,672,960,
3275,ADS PRO L/S-17-1DZ,408,540,
6952094034864,ADS PRO LG008 LPGLOSS 24PC,22,40,24
3276,ADS PRO LIPGLOSS 011,276,360,
6923859202163,ADS PRO LIPGLOSS 3509 24PC,52,100,24
6923859202170,ADS PRO LIPGLOSS 3510 24PC,52,100,24
6923859202187,ADS PRO LIPGLOSS 3511 24PC,50,100,24
6923859202224,ADS PRO LIPGLOSS 3515 24PC,52,100,24
6923859202231,ADS PRO LIPGLOSS 3516-24PC,50,100,24
5340,ADS PRO LIPGLOSS 7716 12pc,50,100,12
3103,ADS PRO LIPGLOSS AD004,492,660,
3104,ADS PRO LIPGLOSS ADS21,528,720,
6464652141230,ADS PRO LIPGLOSS ORANGE 12pc,50,100,12
8466387256331,ADS PRO LIPLINER A0809,180,240,
3106,ADS PRO LIPSTICK,600,840,
6923859201999,ADS PRO LIPSTICK 3493 24PC,52,100,24
6923859202798,ADS PRO LIPSTICK 3570 24PC,52,100,24
6923859202316,ADS PRO MASCARA 3524,60,150,1
6970828693170,ADS PRO PRIMER TUBE,35,60,1
1399,ADS REMOVER 12pc-35,9,15,12
5479,ADS REMOVER SMALL 12pc-15,6.5,10,12
6970957496017,ADS ROTATE KAJAL SMALL,54,84,
1994,ADS SMALL KIT REGULAR,85,120,
2623,ADS SMALL LIP 32PC,114,150,
2609,ADS SUPERLINER 12PC-50,240,360,
1939,ADS TWIST EYECARE 1DZ,66,96,
1945,ADS TWIST KAJAL A601,48,72,
6923859299101,ADS TWIST LIPLINER A601,72,96,
6950420152329,ADS VOLUME MASCARA A05232B,70,100,
3840,ADSD ROTATE KAJAL SMALL,54,84,
1761,ADS-PRO 13 L-S 12PC,360,480,
6948956001945,ADS-PRO 2195 LIPGLS 12PC,360,480,
6948956001952,ADS-PRO 2196 LIPGLS 12PC,360,480,
919811094585,ADS-PRO LIPSTICK-LP007-12PC,420,600,1
3506,AE,1,1,1
8901023029066,AER POCKET 3PC-180,144,165,
8901023025068,AER POWER MIX MRP.60,324,348,
5,af,1,1,1
8906180700131,AFRIN NIKHAR HENNA,200,250,1
ah,ag,1,1,1
3836,AGARBATI STAD PLASTICK WS48-8,48,72,1
3144,AGARBATI STAND WS60-12,60,84,
3145,AGARBATI STAND WS66-12,66,96,1
3491,AGARBATI STAND WS84-15,84,120,1
17088,AGN AIR FRESHNER-180,90,150,1
16948,AGN ATTARFULL PERFUME-223,107,180,1
91800776,AGN ATTARFULL PRFM-168,80,110,1
91800603,AGN ATTARFULL PRFM-207,100,180,1
91801434,AGN ATTARFULL PRFM-89,43,70,
6406,AGN ATTARFULL-324,156,260,1
8461985618192,AGN KALERO BLUE PERF-449,150,300,
8461985618109,AGN KALERO RED PERF-449,150,300,
91801432,AGN TULIP PRFM 20ml-96,46,75,1
1609,AGN TULIP PRFM 40ml-162,78,110,
228846496126,AGN TULIP PRFM 40ml-174,87,120,1
1613,AGN TULIP PRFM-249,120,200,1
2762,AGN TULIP-369,177,300,1
6,ah,1,1,1
8901360703018,AHSAN ATTAR 12PC-65,36,55,12
6158,AHSAN MIX ATTAR 3ml 12PC-50,26,35,12
8901360703032,AHSAN MIX ATTAR 6PC -120,65,90,6
5221,AHSAS ATTAR,7,10,12
7,ai,1,1,1
4103,AIKA SCISSOR 002,180,240,
4102,AIKA SCISSOR 004,150,240,
2469,AIKA SCISSORS 110-6PC-MRP72,126,180,
2470,AIKA SCISSORS 120 6PC-75,23,35,6
2471,AIKA SCISSORS 130 6PC-95,27,75,6
8906170810482,AIR GLOSS BERRY 6pc-85,40,60,6
8906170810468,AIR GLOSS CITRUS 6pc-85,40,60,6
8906170810512,AIR GLOSS LEMON 6pc-85,40,60,6
8906170810505,AIR GLOSS LEVENDER 6pc-85,40,60,6
8906170810475,AIR GLOSS ORANGE 6pc-85,40,60,6
8906170810499,AIR GLOSS SEA 6pc-85,40,60,6
6638,AIRBRC AIR FRESHNER 12PC,30,50,12
8904166748597,AIRMIST COOL AIR FRESHNER-130,65,100,1
8904166749952,AIRMIST EXOTIC AIR FRESHNER-130,65,100,
8904166748559,AIRMIST JASMINE AIR FRESHNER-130,65,100,1
8904166748542,AIRMIST LAVENDER AIR FRESHNER-130,65,100,1
8904166748566,AIRMIST LEMON AIR FRESHNER-130,65,100,1
8904166749938,AIRMIST LONDON AIR FRESHNER-130,65,100,
